
@relation query

@attribute dataset_name {mushroom,nursery,adult,covertype,kropt}
@attribute alg_name {weka.AdaBoostM1,weka.ADTree,weka.AODE,weka.AttributeSelectedClassifier,weka.Bagging,weka.BayesNet,weka.ClassificationViaRegression,weka.ConjunctiveRule,weka.CVParameterSelection,weka.DecisionStump,weka.DecisionTable,weka.Decorate,weka.FilteredClassifier,weka.HyperPipes,weka.IB1,weka.IBk,weka.Id3,weka.J48,weka.JRip,weka.LBR,weka.LMT,weka.Logistic,weka.LogitBoost,weka.LWL,weka.MultiBoostAB,weka.MultiClassClassifier,weka.MultilayerPerceptron,weka.MultiScheme,weka.NaiveBayes,weka.NaiveBayesSimple,weka.NaiveBayesUpdateable,weka.NBTree,weka.NNge,weka.OneR,weka.OrdinalClassClassifier,weka.PART,weka.Prism,weka.RacedIncrementalLogitBoost,weka.RandomCommittee,weka.RandomForest,weka.RandomTree,weka.RBFNetwork,weka.REPTree,weka.Ridor,weka.SimpleLogistic,weka.SMO,weka.Stacking,weka.StackingC,weka.ThresholdSelector,weka.VFI,weka.Vote,weka.VotedPerceptron,weka.Winnow,weka.ZeroR}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
mushroom,weka.SMO,5.44,3.26057e+07,60,1.75212e+08,0.994707
mushroom,weka.SMO,5.18,3.14312e+07,55,1.62836e+08,0.994707
mushroom,weka.SMO,8.18,3.12891e+07,84,1.83104e+08,0.994707
mushroom,weka.SMO,5.28,3.15077e+07,43.58,1.53725e+08,0.994707
mushroom,weka.SMO,5.41,3.17876e+07,58,1.89988e+08,0.994707
mushroom,weka.SMO,10.41,3.54913e+07,107,2.0262e+08,0.999015
mushroom,weka.SMO,9.92,3.21635e+07,89,1.7178e+08,0.999015
mushroom,weka.SMO,13.24,3.18088e+07,121,2.44812e+08,0.999015
mushroom,weka.SMO,9.93,3.1546e+07,98,1.69644e+08,0.999015
mushroom,weka.SMO,13,3.13902e+07,120,2.76816e+08,0.999015
mushroom,weka.SMO,12.16,3.55831e+07,114,1.72216e+08,0.999015
mushroom,weka.SMO,14.27,3.14228e+07,111,1.67612e+08,0.999015
mushroom,weka.SMO,8.31,3.2771e+07,92,1.63704e+08,0.999015
mushroom,weka.SMO,8.74,3.14272e+07,106,1.59292e+08,0.999015
mushroom,weka.SMO,10.8,3.12886e+07,91,1.84516e+08,0.999015
mushroom,weka.SMO,10,3.52526e+07,93,1.7498e+08,0.999015
mushroom,weka.SMO,13.17,3.58905e+07,136,1.92832e+08,0.999015
mushroom,weka.SMO,10.4,3.1701e+07,106,2.1022e+08,0.999015
mushroom,weka.SMO,14.11,3.23603e+07,111,1.93744e+08,0.999015
mushroom,weka.SMO,10.76,3.14106e+07,113,2.10292e+08,0.999015
mushroom,weka.SMO,10.53,3.13076e+07,97,1.912e+08,0.999015
mushroom,weka.SMO,12.39,3.13041e+07,133,1.75748e+08,0.999015
mushroom,weka.SMO,12.53,3.24394e+07,112,1.64776e+08,0.999015
mushroom,weka.SMO,7.47,3.12861e+07,89,1.96116e+08,0.999015
mushroom,weka.SMO,8.29,3.46651e+07,92,1.7878e+08,0.999015
mushroom,weka.SMO,11.12,3.2918e+07,105,1.8066e+08,0.999385
mushroom,weka.SMO,9.6,3.4691e+07,120,1.80944e+08,0.999385
mushroom,weka.SMO,13.94,3.13213e+07,104,1.95552e+08,0.999385
mushroom,weka.SMO,11.18,3.49652e+07,119,1.70752e+08,0.999385
mushroom,weka.SMO,10.13,3.14008e+07,103,1.6852e+08,0.999385
mushroom,weka.SMO,11.8,3.15356e+07,105,2.03748e+08,0.999385
mushroom,weka.SMO,9.42,3.1412e+07,100,1.87104e+08,0.999385
mushroom,weka.SMO,12.39,3.36256e+07,102,1.65788e+08,0.999385
mushroom,weka.SMO,8.99,3.23015e+07,97,1.611e+08,0.999385
mushroom,weka.SMO,9.61,3.19071e+07,104,2.17424e+08,0.999385
mushroom,weka.SMO,11.55,3.46672e+07,111,1.6812e+08,0.999385
mushroom,weka.SMO,14.19,3.1502e+07,155,1.98748e+08,0.999385
mushroom,weka.SMO,12.86,3.1282e+07,149,1.59152e+08,0.999385
mushroom,weka.SMO,9.54,3.13158e+07,107,1.90204e+08,0.999385
mushroom,weka.SMO,17.3,3.15831e+07,121,1.89704e+08,0.999385
mushroom,weka.SMO,10.17,3.1413e+07,109,1.72604e+08,0.999385
mushroom,weka.SMO,9.68,3.13105e+07,112,2.14272e+08,0.999385
mushroom,weka.SMO,12.54,3.2906e+07,111,1.88264e+08,0.999385
mushroom,weka.SMO,9.24,3.1662e+07,104,1.65324e+08,0.999385
mushroom,weka.SMO,8.49,3.15963e+07,87.04,1.42183e+08,0.999385
mushroom,weka.SMO,7.71,3.13233e+07,75,1.86556e+08,1
mushroom,weka.SMO,6.87,3.15794e+07,88,2.01404e+08,1
mushroom,weka.SMO,7.58,3.35224e+07,85,1.66792e+08,1
mushroom,weka.SMO,5.44,3.65475e+07,72,1.69196e+08,1
mushroom,weka.SMO,5.15,3.21214e+07,70,1.70964e+08,1
mushroom,weka.SMO,7.16,3.46887e+07,75,1.79544e+08,1
mushroom,weka.SMO,5.59,3.14615e+07,73,1.85824e+08,1
mushroom,weka.SMO,5.2,3.13033e+07,64,1.80792e+08,1
mushroom,weka.SMO,5.9,3.12915e+07,68,1.84192e+08,1
mushroom,weka.SMO,5.98,3.13408e+07,86,2.206e+08,1
mushroom,weka.SMO,6.14,3.25536e+07,76,1.73272e+08,1
mushroom,weka.SMO,8.45,3.14247e+07,70,1.77732e+08,1
mushroom,weka.SMO,6.48,3.18296e+07,75,2.12324e+08,1
mushroom,weka.SMO,5.39,3.12781e+07,81,1.997e+08,1
mushroom,weka.SMO,6.71,3.14188e+07,80,1.63784e+08,1
mushroom,weka.SMO,6.6,3.17661e+07,78,2.03964e+08,1
mushroom,weka.SMO,9.32,3.14283e+07,79,2.07772e+08,1
mushroom,weka.SMO,6.3,3.20016e+07,66,1.75564e+08,1
mushroom,weka.SMO,8.13,3.13245e+07,74,1.92796e+08,1
mushroom,weka.SMO,5.95,3.13065e+07,65,1.74716e+08,1
mushroom,weka.SMO,8.89,3.13131e+07,90,1.94124e+08,1
mushroom,weka.SMO,5.95,3.16495e+07,64,1.73908e+08,1
mushroom,weka.SMO,9.4,3.46769e+07,97,1.72304e+08,1
mushroom,weka.SMO,4.55,3.46785e+07,69,1.6632e+08,1
mushroom,weka.SMO,5,3.46592e+07,68,1.70932e+08,1
mushroom,weka.SMO,7.29,3.13934e+07,71,2.03964e+08,1
mushroom,weka.SMO,6.3,3.14241e+07,63,1.898e+08,1
mushroom,weka.SMO,6.47,3.17457e+07,74,1.99752e+08,1
mushroom,weka.SMO,6.5,3.13584e+07,69,1.80952e+08,1
mushroom,weka.SMO,5.7,3.14035e+07,61,1.7372e+08,1
mushroom,weka.SMO,5.4,3.12867e+07,76,1.89912e+08,1
mushroom,weka.SMO,5.17,3.4862e+07,68,2.40292e+08,1
mushroom,weka.SMO,7,3.46884e+07,85,1.66436e+08,1
mushroom,weka.SMO,5.24,3.16149e+07,59,1.69536e+08,1
mushroom,weka.SMO,5.72,3.4691e+07,58,1.82064e+08,1
mushroom,weka.SMO,5.9,3.56479e+07,66,1.67128e+08,1
mushroom,weka.SMO,5.86,3.50508e+07,73,1.71356e+08,1
mushroom,weka.SMO,4.58,3.46804e+07,58,1.72628e+08,1
mushroom,weka.SMO,6.13,3.13097e+07,68,1.74316e+08,1
mushroom,weka.SMO,7.19,3.14374e+07,67,1.70568e+08,1
mushroom,weka.SMO,6.47,3.14285e+07,70,1.75936e+08,1
mushroom,weka.SMO,10.9,3.13842e+07,104,1.84972e+08,1
mushroom,weka.SMO,6.93,3.14401e+07,67,1.8278e+08,1
mushroom,weka.SMO,5.41,3.13094e+07,67,1.73596e+08,1
mushroom,weka.SMO,5.34,3.14307e+07,69,1.88212e+08,1
mushroom,weka.SMO,6.99,3.12971e+07,64,1.76128e+08,1
mushroom,weka.SMO,7.35,3.21641e+07,75,2.02772e+08,1
mushroom,weka.SMO,6.34,3.47029e+07,79,1.80468e+08,1
mushroom,weka.SMO,6.1,3.13129e+07,66,1.97448e+08,1
mushroom,weka.SMO,6.8,3.14616e+07,69,1.54668e+08,1
mushroom,weka.SMO,5.26,3.13029e+07,63,1.90244e+08,1
mushroom,weka.SMO,5.62,3.46783e+07,70,1.6548e+08,1
mushroom,weka.SMO,6.4,3.66379e+07,77,1.86776e+08,1
mushroom,weka.SMO,5.1,3.46675e+07,61,1.68044e+08,1
mushroom,weka.SMO,6.22,3.14047e+07,63,1.5512e+08,1
mushroom,weka.SMO,6.8,3.48059e+07,62,1.64204e+08,1
mushroom,weka.SMO,5.24,3.12895e+07,69,1.79408e+08,1
mushroom,weka.SMO,4.16,3.46679e+07,63,1.80748e+08,1
mushroom,weka.SMO,5.48,3.13113e+07,63,2.06764e+08,1
mushroom,weka.SMO,5.7,3.12903e+07,62,1.72124e+08,1
mushroom,weka.SMO,5.3,3.46649e+07,63,1.66924e+08,1
mushroom,weka.SMO,5.19,3.12812e+07,63,1.80128e+08,1
mushroom,weka.SMO,6.45,3.48788e+07,69,2.09076e+08,1
mushroom,weka.SMO,5.96,3.53226e+07,81,1.90736e+08,1
mushroom,weka.SMO,6.35,3.14171e+07,80,1.98504e+08,1
mushroom,weka.SMO,5.88,3.12771e+07,58,1.52572e+08,1
mushroom,weka.SMO,6.28,3.5348e+07,62,1.6014e+08,1
mushroom,weka.SMO,5.79,3.12974e+07,67,1.97304e+08,1
mushroom,weka.SMO,6.16,3.1436e+07,74,1.71088e+08,1
mushroom,weka.SMO,4.82,3.46069e+07,58,1.81564e+08,1
mushroom,weka.SMO,5.33,3.14236e+07,63,1.75764e+08,1
mushroom,weka.SMO,5.53,3.14091e+07,63,1.93332e+08,1
mushroom,weka.SMO,5.26,3.18762e+07,63,1.95312e+08,1
mushroom,weka.SMO,5.87,3.14414e+07,68,1.83956e+08,1
mushroom,weka.SMO,7.38,3.56054e+07,79,2.52544e+08,1
mushroom,weka.SMO,6.21,3.1307e+07,71,1.95404e+08,1
mushroom,weka.SMO,4.65,3.46736e+07,68,1.66472e+08,1
mushroom,weka.SMO,4.43,3.1419e+07,60,1.55176e+08,1
mushroom,weka.SMO,7.2,3.45682e+07,75,2.41264e+08,1
mushroom,weka.SMO,6.8,3.45829e+07,67,1.66152e+08,1
mushroom,weka.SMO,6.54,3.46886e+07,69,1.66512e+08,1
mushroom,weka.SMO,7.4,3.13428e+07,75,1.8152e+08,1
mushroom,weka.SMO,6.5,3.14049e+07,66,1.65892e+08,1
