% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 24 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {mushroom}
@attribute name {weka.ThresholdSelector,weka.Winnow,weka.LBR,weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.ADTree,weka.Decorate,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.VotedPerceptron,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.LMT,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.AODE,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
mushroom,weka.VotedPerceptron,31.35,1.09969e+07,408,2.03544e+08,0.999385
mushroom,weka.MultiScheme,0.24,144824,17,1.30024e+08,0.517971
mushroom,weka.NaiveBayesUpdateable,0.7,54736,15,8.7404e+07,0.958272
mushroom,weka.Ridor,0.95,3.60626e+07,18,1.36412e+08,1
mushroom,weka.Vote,0.7,46592,14,0,0.517971
mushroom,weka.HyperPipes,0.5,31352,17,1.32584e+08,0.997661
mushroom,weka.NBTree,12.34,9.00601e+07,86,1.82032e+08,1
mushroom,weka.CVParameterSelection,0.8,47360,13,0,0.517971
mushroom,weka.ClassificationViaRegression,6.75,9.89666e+07,72,3.30616e+08,0.999877
mushroom,weka.LogitBoost,1.25,1.25156e+07,22,0,0.982275
mushroom,weka.Bagging,2.54,7.7307e+07,32,0,1
mushroom,weka.LMT,542.77,3.1377e+08,3647,4.08304e+08,0.999877
mushroom,weka.IBk,0.5,273856,170,1.29896e+08,1
mushroom,weka.NaiveBayesSimple,0.4,115424,17,0,0.958272
mushroom,weka.IB1,0.5,262240,169,5.2868e+07,1
mushroom,weka.OneR,0.13,61528,20,1.31e+08,0.985229
mushroom,weka.VFI,0.48,80200,19,0,0.999015
mushroom,weka.RacedIncrementalLogitBoost,0.78,1.1239e+07,20,1.35332e+08,0.994338
mushroom,weka.LWL,0.5,268416,529,6.1348e+07,0.968365
mushroom,weka.RandomForest,2.75,9.19567e+07,31,0,1
mushroom,weka.RandomTree,1.1,1.59175e+07,17,0,0.999508
mushroom,weka.REPTree,0.71,1.19429e+07,18,0,0.999631
mushroom,weka.JRip,1.96,4.22154e+07,29,0,1
mushroom,weka.AdaBoostM1,0.81,1.04308e+07,22,0,0.961965
mushroom,weka.RandomCommittee,3.17,9.26514e+07,41,1.58372e+08,1
mushroom,weka.AODE,0.7,387016,18,0,0.999508
mushroom,weka.OrdinalClassClassifier,0.32,528944,19,0,1
mushroom,weka.ThresholdSelector,10.88,7.83894e+07,73,1.52864e+08,0.998892
mushroom,weka.Winnow,0.51,1.08565e+07,22,0,0.999631
mushroom,weka.LBR,0.22,164032,7915,1.64084e+08,0.999508
mushroom,weka.DecisionTable,3.5,8.05777e+07,46,1.2962e+08,1
mushroom,weka.NNge,1.1,2.63965e+06,22,0,1
mushroom,weka.DecisionStump,0.26,114864,19,0,0.886755
mushroom,weka.SMO,6.53,3.50477e+07,66,1.92708e+08,1
mushroom,weka.MultilayerPerceptron,1215.18,1.01785e+08,12183,2.3658e+08,1
mushroom,weka.MultiBoostAB,1,1.04531e+07,21,5.4372e+07,0.946332
mushroom,weka.ConjunctiveRule,0.8,1.00792e+07,14,1.32064e+08,0.886755
mushroom,weka.Stacking,0.26,94696,20,1.38376e+08,0.517971
mushroom,weka.J48,0.27,151104,18,5.3732e+07,1
mushroom,weka.ADTree,0.47,346376,20,0,0.999015
mushroom,weka.Decorate,8.66,1.0664e+08,330,3.81892e+08,1
mushroom,weka.PART,0.52,281400,17,0,1
mushroom,weka.RBFNetwork,2.62,1.69736e+07,30,0,0.985229
mushroom,weka.ZeroR,0.4,33912,15,0,0.517971
mushroom,weka.BayesNet,0.48,2.03578e+06,17,0,0.962457
mushroom,weka.SimpleLogistic,191.92,1.62844e+08,1719,4.18404e+08,0.999631
mushroom,weka.Logistic,6.79,4.51843e+07,62,1.55628e+08,1
mushroom,weka.StackingC,0.99,1.05171e+07,19,4.2116e+07,0.517971
mushroom,weka.AttributeSelectedClassifier,1.39,2.26584e+06,23,0,0.990153
mushroom,weka.MultiClassClassifier,7.52,4.52554e+07,74,1.98112e+08,1
mushroom,weka.NaiveBayes,0.6,54608,14,0,0.957902
mushroom,weka.FilteredClassifier,0.43,225048,18,0,1
mushroom,weka.VotedPerceptron,1.45,1.09815e+07,31,3.9552e+07,0.999138
mushroom,weka.MultiScheme,0.27,163600,14,0,0.517971
