alg_name,dataset,id,2,5,4,1,Acc,3
weka.J48,optdigits,121370,0.2,,false,,0.906406,2
weka.J48,optdigits,121361,0.2,,false,,0.906406,2
weka.J48,optdigits,121382,0.2,,false,,0.906406,2
weka.J48,optdigits,121400,0.2,,false,,0.906406,2
weka.J48,optdigits,121406,0.2,,false,,0.906406,2
weka.J48,optdigits,121404,0.2,,false,,0.906406,2
weka.J48,optdigits,121394,0.2,,false,,0.906406,2
weka.J48,optdigits,121422,0.3,,false,,0.907295,2
weka.J48,optdigits,121423,0.3,,false,,0.907295,2
weka.J48,optdigits,121408,0.2,,false,,0.906406,2
weka.J48,optdigits,121436,0.3,,false,,0.907295,2
weka.J48,optdigits,121438,0.3,,false,,0.907295,2
weka.J48,optdigits,121433,0.3,,false,,0.907295,2
weka.J48,optdigits,121435,0.3,,false,,0.907295,2
weka.J48,optdigits,121428,0.3,,false,,0.907295,2
weka.J48,optdigits,121431,0.3,,false,,0.907295,2
weka.J48,optdigits,121430,0.3,,false,,0.907295,2
weka.J48,optdigits,121425,0.3,,false,,0.907295,2
weka.J48,optdigits,121427,0.3,,false,,0.907295,2
weka.J48,optdigits,121455,0.35,,false,,0.907295,2
weka.J48,optdigits,121452,0.3,,false,,0.907295,2
weka.J48,optdigits,121453,0.3,,false,,0.907295,2
weka.J48,optdigits,121450,0.3,,false,,0.907295,2
weka.J48,optdigits,121448,0.3,,false,,0.907295,2
weka.J48,optdigits,121446,0.3,,false,,0.907295,2
weka.J48,optdigits,121445,0.3,,false,,0.907295,2
weka.J48,optdigits,121443,0.3,,false,,0.907295,2
weka.J48,optdigits,121440,0.3,,false,,0.907295,2
weka.J48,optdigits,121441,0.3,,false,,0.907295,2
weka.J48,optdigits,121470,0.35,,false,,0.907295,2
weka.J48,optdigits,121469,0.35,,false,,0.907295,2
weka.J48,optdigits,121467,0.35,,false,,0.907295,2
weka.J48,optdigits,121465,0.35,,false,,0.907295,2
weka.J48,optdigits,121463,0.35,,false,,0.907295,2
weka.J48,optdigits,121462,0.35,,false,,0.907295,2
weka.J48,optdigits,121460,0.35,,false,,0.907295,2
weka.J48,optdigits,121458,0.35,,false,,0.907295,2
weka.J48,optdigits,121456,0.35,,false,,0.907295,2
weka.J48,optdigits,121472,0.35,,false,,0.907295,2
weka.J48,optdigits,121475,0.35,,false,,0.907295,2
weka.J48,optdigits,121474,0.35,,false,,0.907295,2
weka.J48,optdigits,121477,0.35,,false,,0.907295,2
weka.J48,optdigits,121479,0.35,,false,,0.907295,2
weka.J48,optdigits,121481,0.35,,false,,0.907295,2
weka.J48,optdigits,121483,0.35,,false,,0.907295,2
weka.J48,optdigits,121484,0.35,,false,,0.907295,2
weka.J48,optdigits,121486,0.35,,false,,0.907295,2
weka.J48,optdigits,121488,0.35,,false,,0.907295,2
weka.J48,optdigits,121489,0.4,,false,,0.907295,2
weka.J48,optdigits,121491,0.4,,false,,0.907295,2
weka.J48,optdigits,121493,0.4,,false,,0.907295,2
weka.J48,optdigits,121494,0.4,,false,,0.907295,2
weka.J48,optdigits,121500,0.4,,false,,0.907295,2
weka.J48,mushroom,1255,0.25,,false,,1,2
weka.J48,optdigits,121506,0.4,,false,,0.907295,2
