% Query:
% SELECT li.name as alg_name, d.name as dataset, e.eid as id, ev.evalue as accuracy
% FROM
% dataset d,
% data_property_value dp,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev
% WHERE d.did = dp.did and dp.dpid = 9 and dp.value >= 5000 and
% d.did = e.did and la.laid = e.laid  and
% e.eid = ev.eid and ev.emiid = 6 and la.liid = li.liid and
% li.name = "weka.J48"

alg_name,dataset,id,accuracy
weka.J48,mushroom,117778,1
weka.J48,optdigits,121022,0.90694
weka.J48,nursery,123920,0.970525
weka.J48,page-blocks,129389,0.968756
weka.J48,pendigits,134311,0.965611
weka.J48,waveform-5000,192819,0.7508
weka.J48,kropt,247280,0.565833
weka.J48,letter,73533,0.8798
weka.J48,mushroom,117779,1
weka.J48,optdigits,121024,0.90694
weka.J48,nursery,123921,0.970525
weka.J48,page-blocks,129390,0.968756
weka.J48,pendigits,134312,0.965611
weka.J48,waveform-5000,192820,0.7508
weka.J48,adult,234327,0.851705
weka.J48,covertype,238645,0.851721
weka.J48,kropt,247281,0.565833
weka.J48,letter,73536,0.8798
weka.J48,mushroom,117780,1
weka.J48,optdigits,121027,0.90694
weka.J48,nursery,123922,0.970525
weka.J48,page-blocks,129392,0.968756
weka.J48,pendigits,134313,0.965611
weka.J48,waveform-5000,192821,0.7508
weka.J48,kropt,247282,0.565833
weka.J48,letter,73539,0.8741
weka.J48,mushroom,117781,1
weka.J48,optdigits,121029,0.907117
weka.J48,nursery,123923,0.941281
weka.J48,page-blocks,129393,0.968938
weka.J48,pendigits,134314,0.963883
weka.J48,waveform-5000,192822,0.7654
weka.J48,kropt,247283,0.43627
weka.J48,letter,73542,0.87625
weka.J48,mushroom,117782,1
weka.J48,optdigits,121031,0.907473
weka.J48,nursery,123924,0.959954
weka.J48,page-blocks,129394,0.970217
weka.J48,pendigits,134315,0.964156
weka.J48,waveform-5000,192823,0.759
weka.J48,kropt,247284,0.487846
weka.J48,letter,73544,0.8786
weka.J48,mushroom,117783,1
weka.J48,optdigits,121033,0.907473
weka.J48,nursery,123925,0.961806
weka.J48,page-blocks,129396,0.969669
weka.J48,pendigits,134316,0.964702
weka.J48,waveform-5000,192824,0.7554
weka.J48,kropt,247285,0.526162
weka.J48,letter,73547,0.87905
weka.J48,mushroom,117784,1
weka.J48,optdigits,121035,0.90694
weka.J48,nursery,123926,0.968596
weka.J48,page-blocks,129397,0.969304
weka.J48,pendigits,134317,0.965611
weka.J48,waveform-5000,192825,0.7536
weka.J48,adult,234332,0.850498
weka.J48,covertype,238650,0.850244
weka.J48,kropt,247286,0.547263
weka.J48,letter,73550,0.8795
weka.J48,mushroom,117785,1
weka.J48,optdigits,121037,0.906406
weka.J48,nursery,123927,0.969985
weka.J48,page-blocks,129400,0.969487
weka.J48,pendigits,134318,0.965702
weka.J48,waveform-5000,192826,0.7516
weka.J48,kropt,247287,0.558276
weka.J48,letter,73560,0.8805
weka.J48,mushroom,117789,1
weka.J48,optdigits,121045,0.907295
weka.J48,nursery,123932,0.977161
weka.J48,page-blocks,129418,0.967842
weka.J48,pendigits,134322,0.965884
weka.J48,waveform-5000,192830,0.7502
weka.J48,kropt,247291,0.579876
weka.J48,letter,73565,0.8741
weka.J48,mushroom,117795,1
weka.J48,optdigits,121055,0.907117
weka.J48,nursery,123937,0.941281
weka.J48,page-blocks,129425,0.968938
weka.J48,pendigits,134327,0.963883
weka.J48,waveform-5000,192835,0.7654
weka.J48,kropt,247296,0.43627
weka.J48,letter,73566,0.8741
weka.J48,mushroom,117796,1
weka.J48,optdigits,121057,0.907117
weka.J48,nursery,123938,0.941281
weka.J48,page-blocks,129426,0.968938
weka.J48,pendigits,134328,0.963883
weka.J48,waveform-5000,192836,0.7654
weka.J48,kropt,247297,0.43627
weka.J48,letter,73567,0.8741
weka.J48,mushroom,117798,1
weka.J48,optdigits,121059,0.907117
weka.J48,nursery,123939,0.941281
weka.J48,page-blocks,129428,0.968938
weka.J48,pendigits,134329,0.963883
weka.J48,waveform-5000,192837,0.7654
weka.J48,covertype,238662,0.832036
weka.J48,kropt,247298,0.43627
weka.J48,letter,73568,0.8741
weka.J48,mushroom,117799,1
weka.J48,optdigits,121061,0.907117
weka.J48,nursery,123940,0.941281
weka.J48,page-blocks,129429,0.968938
weka.J48,pendigits,134330,0.963883
weka.J48,waveform-5000,192838,0.7654
weka.J48,kropt,247299,0.43627
weka.J48,letter,73569,0.8741
weka.J48,mushroom,117801,1
weka.J48,optdigits,121063,0.907117
weka.J48,nursery,123942,0.941281
weka.J48,page-blocks,129430,0.968938
weka.J48,pendigits,134331,0.963883
weka.J48,waveform-5000,192839,0.7654
weka.J48,kropt,247300,0.43627
weka.J48,letter,73570,0.8741
weka.J48,mushroom,117802,1
weka.J48,optdigits,121064,0.907117
weka.J48,nursery,123943,0.941281
weka.J48,page-blocks,129431,0.968938
weka.J48,pendigits,134332,0.963883
weka.J48,waveform-5000,192840,0.7654
weka.J48,kropt,247301,0.43627
weka.J48,letter,73571,0.8741
weka.J48,mushroom,117804,1
weka.J48,optdigits,121066,0.907117
weka.J48,nursery,123945,0.941281
weka.J48,page-blocks,129433,0.968938
weka.J48,pendigits,134333,0.963883
weka.J48,waveform-5000,192841,0.7654
weka.J48,kropt,247302,0.43627
weka.J48,letter,73572,0.8741
weka.J48,mushroom,117805,1
weka.J48,optdigits,121069,0.907117
weka.J48,nursery,123946,0.941281
weka.J48,page-blocks,129434,0.968938
weka.J48,pendigits,134334,0.963883
weka.J48,waveform-5000,192842,0.7654
weka.J48,kropt,247303,0.43627
weka.J48,letter,73573,0.8741
weka.J48,mushroom,117806,1
weka.J48,optdigits,121071,0.907117
weka.J48,nursery,123948,0.941281
weka.J48,page-blocks,129435,0.968938
weka.J48,pendigits,134335,0.963883
weka.J48,waveform-5000,192843,0.7654
weka.J48,kropt,247304,0.43627
weka.J48,letter,73574,0.8741
weka.J48,mushroom,117808,1
weka.J48,optdigits,121074,0.907117
weka.J48,nursery,123949,0.941281
weka.J48,page-blocks,129436,0.968938
weka.J48,pendigits,134336,0.963883
weka.J48,waveform-5000,192844,0.7654
weka.J48,kropt,247305,0.43627
weka.J48,letter,73575,0.8741
weka.J48,mushroom,117809,1
weka.J48,optdigits,121086,0.907117
weka.J48,nursery,123950,0.941281
weka.J48,page-blocks,129437,0.968938
weka.J48,pendigits,134337,0.963883
weka.J48,waveform-5000,192845,0.7654
weka.J48,kropt,247306,0.43627
weka.J48,letter,73576,0.8741
weka.J48,mushroom,117811,1
weka.J48,optdigits,121097,0.907117
weka.J48,nursery,123952,0.941281
weka.J48,page-blocks,129441,0.968938
weka.J48,pendigits,134338,0.963883
weka.J48,waveform-5000,192846,0.7654
weka.J48,kropt,247307,0.43627
weka.J48,letter,73577,0.8741
weka.J48,mushroom,117812,1
weka.J48,optdigits,121107,0.907117
weka.J48,nursery,123953,0.941281
weka.J48,page-blocks,129445,0.968938
weka.J48,pendigits,134339,0.963883
weka.J48,waveform-5000,192847,0.7654
weka.J48,satimage,242990,0.87154
weka.J48,kropt,247308,0.43627
weka.J48,letter,73578,0.8741
weka.J48,mushroom,117814,1
weka.J48,optdigits,121121,0.907117
weka.J48,nursery,123955,0.941281
weka.J48,page-blocks,129446,0.968938
weka.J48,pendigits,134340,0.963883
weka.J48,waveform-5000,192848,0.7654
weka.J48,kropt,247309,0.43627
