% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 32 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {pendigits}
@attribute name {weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.LMT,weka.IBk,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
pendigits,weka.ZeroR,0.5,41920,32,5.3152e+07,0.103712
pendigits,weka.BayesNet,1.14,4.54938e+06,38,9.0068e+07,0.87964
pendigits,weka.SimpleLogistic,223.38,1.35289e+08,2971,3.6068e+08,0.954239
pendigits,weka.Logistic,32.43,8.91396e+07,606,1.33492e+08,0.955422
pendigits,weka.StackingC,1.71,4.69943e+07,38,1.577e+08,0.103803
pendigits,weka.AttributeSelectedClassifier,3.87,4.8806e+07,66,1.83548e+08,0.962609
pendigits,weka.MultiClassClassifier,12.49,9.57452e+07,133,1.43784e+08,0.934953
pendigits,weka.NaiveBayes,0.44,122032,38,1.33716e+08,0.857715
pendigits,weka.FilteredClassifier,1.68,2.88623e+07,47,1.63948e+08,0.887918
pendigits,weka.MultiScheme,0.34,1.50135e+06,24,1.44216e+08,0.103712
pendigits,weka.NaiveBayesUpdateable,0.34,122080,28,1.42216e+08,0.857715
pendigits,weka.Ridor,308.49,1.39204e+08,2848,4.2796e+08,0.959243
pendigits,weka.Vote,0.11,59552,35,1.77236e+08,0.103712
pendigits,weka.HyperPipes,0.5,46880,28,1.4512e+08,0.138828
pendigits,weka.NBTree,87.33,1.01539e+08,2014,4.72056e+08,0.952329
pendigits,weka.CVParameterSelection,0.14,60720,38,1.30884e+08,0.103712
pendigits,weka.ClassificationViaRegression,19.65,1.3866e+08,233,3.90408e+08,0.980258
pendigits,weka.LogitBoost,19.92,4.8478e+07,207,1.89444e+08,0.92349
pendigits,weka.Bagging,7.2,9.71775e+07,81,1.4996e+08,0.977074
pendigits,weka.LMT,1278.54,3.63227e+08,13536,4.42072e+08,0.986354
pendigits,weka.IBk,0.12,364568,338,1.39676e+08,0.994087
pendigits,weka.IB1,0.9,359336,339,1.51136e+08,0.994087
pendigits,weka.OneR,0.44,89776,32,1.66528e+08,0.392012
pendigits,weka.VFI,0.5,103368,32,2.906e+07,0.780386
pendigits,weka.RacedIncrementalLogitBoost,5.8,8.86679e+07,71,1.21076e+08,0.895378
pendigits,weka.LWL,0.9,356632,4442,1.81428e+08,0.648926
pendigits,weka.RandomForest,6.51,1.06432e+08,77,1.78176e+08,0.989902
pendigits,weka.RandomTree,1.42,4.71683e+07,38,1.49044e+08,0.904749
pendigits,weka.REPTree,1.96,3.46886e+07,41,1.60216e+08,0.95333
pendigits,weka.JRip,29.83,1.3287e+08,305,4.77116e+08,0.964702
pendigits,weka.AdaBoostM1,0.59,1.99408e+06,34,1.43964e+08,0.203694
pendigits,weka.RandomCommittee,4.34,1.13362e+08,346,3.98524e+08,0.985535
pendigits,weka.OrdinalClassClassifier,11.99,5.13563e+07,152,1.99844e+08,0.931678
pendigits,weka.SMO,5.2,1.39617e+08,81,3.22756e+08,0.979713
pendigits,weka.SMO,5.24,1.2483e+08,73,3.38684e+08,0.979713
pendigits,weka.SMO,5.9,1.24659e+08,85,3.57544e+08,0.979622
pendigits,weka.SMO,4.86,1.24721e+08,70,3.5564e+08,0.979713
pendigits,weka.SMO,4.97,1.24658e+08,80,3.11596e+08,0.979713
pendigits,weka.SMO,4.9,1.24707e+08,73,3.665e+08,0.979622
pendigits,weka.SMO,5.23,1.24676e+08,77,3.44872e+08,0.979713
pendigits,weka.SMO,5.94,1.24687e+08,81,2.985e+08,0.979713
pendigits,weka.SMO,4.39,1.2472e+08,70,4.04416e+08,0.979804
pendigits,weka.SMO,5.33,1.24698e+08,78,2.83948e+08,0.979713
pendigits,weka.SMO,5.17,1.24743e+08,78,3.80092e+08,0.979713
pendigits,weka.SMO,5.4,1.39619e+08,79,3.00596e+08,0.979713
pendigits,weka.SMO,5.62,1.24698e+08,83,3.03728e+08,0.979713
pendigits,weka.SMO,6.14,1.24714e+08,90,3.27352e+08,0.979713
pendigits,weka.SMO,5.16,1.24668e+08,79,3.75288e+08,0.979622
pendigits,weka.SMO,4.67,1.24722e+08,69,3.61708e+08,0.979713
pendigits,weka.SMO,5.35,1.24786e+08,71,3.86992e+08,0.979713
pendigits,weka.SMO,5.37,1.24703e+08,80,3.51352e+08,0.979713
pendigits,weka.SMO,5.73,1.24677e+08,88,3.80128e+08,0.979713
pendigits,weka.SMO,6.9,1.24718e+08,88,4.05704e+08,0.979622
pendigits,weka.SMO,3.2,1.24751e+08,55,3.48908e+08,0.873544
pendigits,weka.SMO,3.33,1.24675e+08,67,3.54648e+08,0.939956
pendigits,weka.SMO,3.3,1.3986e+08,56,3.33408e+08,0.960699
pendigits,weka.SMO,4.54,1.24751e+08,72,3.2326e+08,0.976983
pendigits,weka.SMO,5.59,1.24712e+08,91,3.6436e+08,0.979622
pendigits,weka.SMO,6.15,1.24727e+08,79,3.55804e+08,0.980804
pendigits,weka.SMO,5.88,1.39473e+08,82,3.23212e+08,0.981805
pendigits,weka.SMO,8.19,1.2477e+08,108,3.45372e+08,0.981896
pendigits,weka.SMO,6.88,1.24698e+08,87,3.61988e+08,0.982442
pendigits,weka.SMO,7.99,1.39467e+08,104,3.24224e+08,0.983079
pendigits,weka.SMO,10.57,1.24724e+08,132,3.67176e+08,0.981532
pendigits,weka.SMO,12.55,1.24679e+08,154,3.83796e+08,0.981714
pendigits,weka.SMO,14.85,1.24721e+08,172,3.60136e+08,0.981623
pendigits,weka.SMO,14.81,1.24711e+08,160,3.70284e+08,0.981441
pendigits,weka.SMO,18.2,1.24728e+08,189,3.54612e+08,0.981168
pendigits,weka.SMO,18.89,1.24658e+08,226,3.6196e+08,0.980713
pendigits,weka.SMO,18.46,1.47013e+08,178.38,3.3675e+08,0.980531
pendigits,weka.SMO,22.76,1.24698e+08,235,3.44092e+08,0.980895
pendigits,weka.SMO,23.11,1.24718e+08,242,3.61616e+08,0.981077
pendigits,weka.SMO,3.26,1.24665e+08,59,3.74284e+08,0.873453
pendigits,weka.SMO,3.34,1.24726e+08,54,3.72232e+08,0.873544
pendigits,weka.SMO,3.1,1.24744e+08,57,3.38076e+08,0.873544
pendigits,weka.SMO,3.28,1.39546e+08,67,2.9042e+08,0.873544
pendigits,weka.SMO,3.6,1.39821e+08,30.54,3.433e+08,0.873453
pendigits,weka.SMO,3.1,1.24777e+08,52,3.38064e+08,0.873453
pendigits,weka.SMO,3.79,1.24828e+08,61,3.28412e+08,0.873362
pendigits,weka.SMO,3.51,1.24782e+08,57,3.28392e+08,0.873453
pendigits,weka.SMO,3.75,1.39671e+08,52,3.14232e+08,0.873544
pendigits,weka.SMO,3.21,1.24717e+08,67,3.69628e+08,0.873362
pendigits,weka.SMO,3.22,1.24751e+08,55,3.72588e+08,0.873453
pendigits,weka.SMO,2.95,1.24775e+08,58,3.70192e+08,0.873544
pendigits,weka.SMO,3.17,1.24774e+08,61,3.80808e+08,0.873362
pendigits,weka.SMO,3.29,1.24751e+08,57,3.86368e+08,0.873453
pendigits,weka.SMO,3.39,1.24779e+08,63,3.75244e+08,0.873362
pendigits,weka.SMO,3.82,1.24835e+08,60,4.22376e+08,0.873453
pendigits,weka.SMO,3.56,1.24813e+08,54,3.3676e+08,0.873362
pendigits,weka.SMO,2.97,1.24736e+08,52,3.01268e+08,0.873453
pendigits,weka.SMO,3.19,1.24767e+08,60,3.73608e+08,0.873453
pendigits,weka.SMO,2.97,1.24764e+08,58,3.43664e+08,0.873453
pendigits,weka.SMO,3.37,1.24699e+08,54,3.8482e+08,0.939774
pendigits,weka.SMO,3.25,1.24724e+08,59,3.56712e+08,0.939683
