% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 183 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {adult}
@attribute name {weka.ThresholdSelector,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.ADTree,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.LogitBoost,weka.Bagging,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
adult,weka.SMO,17.36,1.87433e+08,158.66,5.39383e+08,0.852217
adult,weka.SMO,21.32,1.91239e+08,202.45,8.51911e+08,0.852197
adult,weka.SMO,21.61,1.94234e+08,194.91,8.38809e+08,0.852176
adult,weka.SMO,21.36,1.94917e+08,204.92,7.9649e+08,0.852176
adult,weka.SMO,27.9,1.87516e+08,243.81,5.39022e+08,0.852258
adult,weka.SMO,12.59,1.87492e+08,119.06,5.40587e+08,0.852217
adult,weka.SMO,21.38,1.91354e+08,187.82,8.52346e+08,0.852238
adult,weka.SMO,21.64,1.92599e+08,202.63,8.52413e+08,0.852217
adult,weka.SMO,22.3,1.91899e+08,206.39,8.49798e+08,0.852197
adult,weka.SMO,16.91,1.92282e+08,178.14,8.51524e+08,0.852176
adult,weka.SMO,20.73,1.91873e+08,205.81,8.51741e+08,0.852217
adult,weka.SMO,17.08,1.87593e+08,167.44,5.39496e+08,0.852238
adult,weka.SMO,20.07,1.8767e+08,207.05,8.49916e+08,0.852238
adult,weka.SMO,17.37,1.90743e+08,181.61,8.51257e+08,0.852279
adult,weka.SMO,21.96,1.93272e+08,187.46,8.52049e+08,0.852176
adult,weka.SMO,23.59,1.94154e+08,220.71,8.50377e+08,0.852217
adult,weka.SMO,23.17,1.92483e+08,194.81,8.49767e+08,0.852197
adult,weka.SMO,115.18,1.94153e+08,1031.26,8.5352e+08,0.85406
adult,weka.SMO,79.91,1.87317e+08,698.15,5.40278e+08,0.854121
adult,weka.SMO,88.49,1.87507e+08,867.51,5.40702e+08,0.853999
adult,weka.SMO,240.94,1.29566e+08,2169.52,3.44046e+08,0.854121
adult,weka.SMO,78.4,1.87768e+08,673.87,5.3969e+08,0.854101
adult,weka.SMO,142.85,1.87417e+08,1368.7,5.41057e+08,0.854142
adult,weka.SMO,226.32,1.29546e+08,2023.18,4.03099e+08,0.854101
adult,weka.SMO,131.45,1.87428e+08,1185.59,5.40595e+08,0.85406
adult,weka.SMO,89.91,1.86902e+08,855.98,5.42499e+08,0.85408
adult,weka.SMO,77.09,1.90373e+08,700.06,5.39471e+08,0.85404
adult,weka.SMO,74.25,1.87682e+08,720.25,5.39327e+08,0.854019
adult,weka.SMO,73.1,1.87306e+08,673.38,5.39378e+08,0.854121
adult,weka.SMO,103,1.87446e+08,953.67,5.39696e+08,0.85406
adult,weka.SMO,223.74,1.29552e+08,1904.22,4.0309e+08,0.854121
adult,weka.SMO,131.24,1.8751e+08,1247.45,4.89117e+08,0.85408
adult,weka.SMO,99.9,1.87453e+08,968.39,5.41292e+08,0.85406
adult,weka.SMO,225.2,1.29545e+08,1997.32,4.03078e+08,0.854101
adult,weka.SMO,154.37,1.29568e+08,1405.06,3.44054e+08,0.85404
adult,weka.SMO,83.88,1.87403e+08,876.6,5.39209e+08,0.85404
adult,weka.SMO,195.82,1.87445e+08,1732.75,5.39692e+08,0.854654
adult,weka.SMO,227.86,1.87384e+08,2053.58,5.40155e+08,0.854633
adult,weka.SMO,189.66,1.87437e+08,1901.51,5.39243e+08,0.854531
adult,weka.SMO,183.15,1.87589e+08,1941.26,5.42843e+08,0.854613
adult,weka.SMO,267.28,1.46077e+08,2516.61,4.99796e+08,0.854633
adult,weka.SMO,202.89,1.87347e+08,1793.58,5.40316e+08,0.854572
adult,weka.SMO,193.55,1.89619e+08,1787.96,5.40193e+08,0.854592
adult,weka.SMO,235.89,1.87436e+08,2324.41,5.40276e+08,0.854551
adult,weka.SMO,465.23,1.29552e+08,4259,4.03099e+08,0.854572
adult,weka.SMO,197.27,1.89919e+08,1828.47,5.38928e+08,0.854633
adult,weka.SMO,187.1,1.87397e+08,1867.09,5.41038e+08,0.854633
adult,weka.SMO,186.89,1.86801e+08,1680.27,5.39654e+08,0.854674
adult,weka.SMO,216.34,1.87614e+08,1961.15,5.41236e+08,0.854613
adult,weka.SMO,253.52,1.87372e+08,2485.87,5.39863e+08,0.854592
adult,weka.SMO,206.76,1.87396e+08,1830.21,5.39956e+08,0.854613
adult,weka.SMO,166.27,1.88133e+08,1534.95,5.39644e+08,0.854531
adult,weka.SMO,316.37,1.29559e+08,2906.59,3.44069e+08,0.854613
adult,weka.SMO,444.73,1.29546e+08,4045.73,4.0311e+08,0.854674
adult,weka.SMO,203.5,1.87514e+08,1994.78,5.40825e+08,0.854592
adult,weka.SMO,2549.84,1.88874e+08,23574.1,5.41693e+08,0.854551
adult,weka.SMO,1449.61,1.87716e+08,13090.2,5.41668e+08,0.854613
adult,weka.SMO,2543.26,1.87774e+08,23723.2,5.41714e+08,0.854531
adult,weka.SMO,2078.68,1.94688e+08,18380.5,8.5009e+08,0.854613
adult,weka.SMO,2818.12,1.8749e+08,25276,5.4152e+08,0.854551
adult,weka.SMO,3933.01,1.29574e+08,35168.2,3.44016e+08,0.85451
adult,weka.SMO,1711.08,1.87246e+08,15761.4,5.41485e+08,0.85451
adult,weka.SMO,2627.77,1.296e+08,29970.8,3.44036e+08,0.854633
adult,weka.SMO,1865.55,1.9086e+08,17548.5,5.44862e+08,0.85449
adult,weka.SMO,4326.8,1.29549e+08,39842.7,3.4403e+08,0.854551
adult,weka.SMO,5456.47,1.8826e+08,50517.2,5.42208e+08,0.854551
adult,weka.SMO,1787.15,1.87599e+08,16303.2,5.41439e+08,0.854551
adult,weka.SMO,1694.95,1.88302e+08,15977.5,5.41509e+08,0.854572
adult,weka.SMO,2415.18,1.87302e+08,22776.2,5.44845e+08,0.854572
adult,weka.SMO,2615.75,1.87478e+08,23387.9,5.41653e+08,0.854551
adult,weka.SMO,1929.6,1.86963e+08,16931,5.4165e+08,0.854613
adult,weka.SMO,2651.2,1.8728e+08,23932.2,5.4164e+08,0.85451
adult,weka.SMO,1766.09,1.89402e+08,16192.6,5.41656e+08,0.854572
adult,weka.SMO,1961.84,1.90466e+08,17956.5,5.41541e+08,0.854551
adult,weka.SMO,2536.06,1.88993e+08,23328.5,5.4147e+08,0.854551
adult,weka.SMO,3562.4,1.87259e+08,32084.3,5.41569e+08,0.854449
adult,weka.SMO,4179.1,1.87502e+08,38056.4,5.41459e+08,0.85449
adult,weka.SMO,12041.2,1.29549e+08,112082,3.44032e+08,0.854531
adult,weka.SMO,4337.91,1.87418e+08,39574.9,5.41602e+08,0.85451
adult,weka.SMO,5918.4,1.88665e+08,54267.2,5.41612e+08,0.854449
adult,weka.SMO,5670.58,1.92426e+08,50672.7,8.389e+08,0.85447
adult,weka.SMO,4373.59,1.88445e+08,39693,5.41408e+08,0.854429
adult,weka.SMO,5611.21,1.88573e+08,54091.4,5.41417e+08,0.85451
adult,weka.SMO,5736.01,1.8744e+08,53308.5,5.41631e+08,0.85451
adult,weka.SMO,5880.11,1.87482e+08,53528.8,5.41962e+08,0.85449
adult,weka.SMO,5876.89,1.88695e+08,51106.5,5.41678e+08,0.854449
adult,weka.SMO,5783.8,1.8737e+08,52083.6,5.41709e+08,0.85449
adult,weka.SMO,3572.46,1.87318e+08,32377.2,5.41502e+08,0.85449
adult,weka.SMO,12023.6,1.29582e+08,116543,3.44037e+08,0.85449
adult,weka.SMO,5509.37,1.90333e+08,50958.6,5.41598e+08,0.85451
adult,weka.SMO,5665.86,1.8753e+08,51207.5,5.41532e+08,0.854551
adult,weka.SMO,10101.8,1.29557e+08,92716.5,4.03165e+08,0.854449
adult,weka.SMO,4138.02,1.87247e+08,35943.8,5.41647e+08,0.854551
adult,weka.SMO,11690.1,1.89336e+08,105747,5.44954e+08,0.854592
adult,weka.SMO,19593.4,1.2956e+08,180546,3.4408e+08,0.854592
adult,weka.SMO,11394.8,1.87546e+08,102615,5.41488e+08,0.854613
